kod;nazwa;og-2019;og-2020;og-2021;bib-2019;bib-2020;bib-2021;osob-2019;osob-2020;osob-2021;typ_gminy;wojweództwo
0201011;Bolesławiec (1);8 562 213,65;7 352 370,02;10 342 327,41;1 946 230,00;2 059 879,00;1 943 471,61;220,38;194,05;276,12;1;02
0201022;Bolesławiec (2);7 716 716,47;4 061 592,75;5 666 783,27;0,00;0,00;0,00;527,06;272,92;375,16;2;02
0201032;Gromadka (2);1 547 047,35;1 507 996,70;1 445 658,97;0,00;0,00;0,00;288,90;291,34;281,80;2;02
0201043;Nowogrodziec (3);2 855 493,33;2 953 892,10;2 009 424,41;344 000,00;497 000,00;446 400,00;187,69;199,25;135,45;3;02
0201052;Osiecznica (2);3 508 491,06;1 123 001,82;792 804,20;330 000,00;290 000,00;269 851,49;474,38;151,06;108,07;2;02
0201062;Warta Bolesławiecka (2);1 643 328,06;1 348 589,15;1 380 300,49;236 000,00;230 800,00;250 000,00;189,98;157,05;162,75;2;02
0202011;Bielawa (1);2 891 320,00;2 340 400,00;2 899 350,00;1 060 000,00;1 060 000,00;1 060 000,00;96,47;80,25;100,76;1;02
0202021;Dzierżoniów (1);6 318 378,88;5 376 245,48;6 071 753,24;1 368 558,00;1 243 670,00;1 472 900,00;190,09;166,95;191,06;1;02
0202033;Pieszyce (3);1 668 493,43;1 851 798,45;966 575,59;800 000,00;830 000,00;800 000,00;176,26;201,59;106,69;3;02
0202041;Piława Górna (1);539 000,00;540 000,00;583 000,00;150 000,00;160 000,00;150 000,00;84,06;87,85;95,61;1;02
0202052;Dzierżoniów (2);3 964 841,04;2 459 130,22;2 200 932,28;1 502 414,06;752 119,03;808 995,80;435,03;264,37;238,97;2;02
0202062;Łagiewniki (2);1 509 034,69;1 672 426,89;1 699 756,81;265 000,00;282 000,00;291 000,00;202,75;229,73;233,97;2;02
0202073;Niemcza (3);587 244,64;782 803,52;2 368 635,29;280 000,00;295 000,00;323 064,84;107,30;148,03;453,59;3;02
0203011;Głogów (1);30 675 320,95;10 633 933,77;11 129 241,77;2 070 000,00;2 080 000,00;2 112 824,00;455,68;163,71;173,66;1;02
0203022;Głogów (2);1 448 674,24;1 686 207,97;1 192 242,29;82 288,86;173 945,68;193 638,84;214,08;245,05;170,52;2;02
0203032;Jerzmanowa (2);9 018 778,95;9 610 866,32;6 080 384,74;0,00;0,00;0,00;1 771,51;1 792,74;1 098,93;2;02
0203042;Kotla (2);991 074,70;667 393,19;697 805,26;91 000,00;85 000,00;91 000,00;223,92;151,58;159,90;2;02
0203052;Pęcław (2);427 218,78;1 073 659,10;528 622,22;54 400,00;70 000,00;70 000,00;188,04;495,46;247,95;2;02
0203062;Żukowice (2);780 390,71;870 839,81;1 069 537,87;377 938,31;320 680,46;529 328,05;226,46;253,67;311,18;2;02
0204013;Góra (3);4 569 587,44;2 477 324,33;4 468 384,41;885 000,00;990 000,00;990 000,00;228,98;129,84;236,38;3;02
0204022;Jemielno (2);521 514,20;455 265,70;629 925,40;194 000,00;162 000,00;200 900,00;172,74;160,87;223,54;2;02
0204032;Niechlów (2);974 170,12;1 189 338,61;2 536 928,79;253 952,00;212 039,33;228 472,11;198,36;255,22;548,05;2;02
0204043;Wąsosz (3);700 096,78;1 451 878,01;1 392 228,33;176 700,00;200 000,00;200 000,00;97,77;208,84;203,19;3;02
0205011;Jawor (1);4 569 163,43;4 513 954,77;4 571 500,78;1 003 000,00;1 030 000,00;1 110 000,00;199,61;207,75;213,48;1;02
0205023;Bolków (3);7 496 455,90;1 508 942,15;2 457 548,80;390 258,33;545 775,09;605 043,72;716,82;150,98;249,29;3;02
0205032;Męcinka (2);1 464 804,70;333 704,78;1 034 573,85;204 979,78;107 171,31;136 284,11;293,25;65,86;203,74;2;02
0205042;Mściwojów (2);781 360,98;776 592,99;2 353 646,63;139 539,42;174 204,02;123 792,15;192,22;191,04;579,86;2;02
0205052;Paszowice (2);405 260,32;382 683,91;524 058,23;0,00;0,00;0,00;101,93;93,54;127,14;2;02
0205062;Wądroże Wielkie (2);750 429,28;364 258,21;760 062,54;183 500,00;138 000,00;154 116,00;190,90;93,78;198,50;2;02
0206011;Karpacz (1);764 035,53;695 025,93;781 106,98;335 488,13;305 569,00;314 393,00;166,35;153,39;176,52;1;02
0206021;Kowary (1);1 151 900,34;1 510 644,17;1 524 072,93;248 165,71;616 585,84;327 540,42;105,98;145,86;149,70;1;02
0206031;Piechowice (1);474 000,00;549 000,00;556 433,90;50 000,00;51 000,00;51 992,00;76,53;91,39;93,96;1;02
0206041;Szklarska Poręba (1);2 062 241,38;1 703 518,45;1 894 206,04;251 277,00;238 490,00;327 543,00;314,51;288,63;321,05;1;02
0206052;Janowice Wielkie (2);378 754,00;335 530,76;363 057,11;279 840,00;264 000,00;275 454,98;88,04;81,10;88,21;2;02
0206062;Jeżów Sudecki (2);712 889,16;408 116,85;674 535,01;120 000,00;130 500,00;147 000,00;95,84;53,76;87,60;2;02
0206072;Mysłakowice (2);966 875,99;765 584,07;815 165,89;0,00;0,00;0,00;95,16;77,29;82,77;2;02
0206082;Podgórzyn (2);653 351,41;491 410,12;840 247,10;258 140,36;290 418,40;469 559,27;79,10;59,70;102,38;2;02
0206092;Stara Kamienica (2);989 338,30;1 054 133,39;330 167,55;145 501,00;135 000,00;210 000,00;187,87;199,76;62,71;2;02
0207011;Kamienna Góra (1);14 617 934,09;13 144 057,43;5 664 641,64;600 000,00;927 500,00;600 000,00;768,96;721,57;316,21;1;02
0207022;Kamienna Góra (2);1 162 760,20;1 005 745,59;1 399 690,26;271 400,00;282 300,00;271 400,00;128,92;112,69;158,26;2;02
0207033;Lubawka (3);2 439 401,86;1 649 905,07;1 136 513,58;137 480,00;143 000,00;147 330,00;223,78;157,01;109,25;3;02
0207042;Marciszów (2);347 061,22;325 546,22;362 597,46;123 297,28;117 562,90;134 729,95;77,14;74,00;83,22;2;02
0208011;Duszniki-Zdrój (1);1 624 411,00;1 379 096,49;1 611 000,00;208 890,00;309 649,00;351 000,00;354,37;318,87;381,93;1;02
0208021;Kłodzko (1);4 146 125,59;5 180 460,49;7 845 282,48;950 000,00;996 000,00;1 020 000,00;154,45;199,08;306,17;1;02
0208031;Kudowa-Zdrój (1);2 033 667,96;1 848 078,74;2 334 516,17;442 796,59;393 553,03;428 492,31;205,59;189,62;243,46;1;02
0208041;Nowa Ruda (1);2 769 480,00;2 805 400,00;3 001 970,40;1 027 070,00;1 100 000,00;1 055 000,00;125,50;130,43;141,98;1;02
0208051;Polanica-Zdrój (1);1 858 138,21;2 049 392,28;2 117 396,66;402 000,00;380 000,00;380 000,00;293,82;324,99;341,63;1;02
0208063;Bystrzyca Kłodzka (3);8 064 098,62;4 715 679,32;5 831 680,88;808 800,00;833 680,00;891 500,00;426,11;260,98;327,07;3;02
0208072;Kłodzko (2);8 383 391,69;5 871 383,75;3 844 473,54;989 999,98;1 087 890,95;1 201 090,00;489,06;347,50;229,52;2;02
0208083;Lądek-Zdrój (3);3 732 163,26;4 074 490,88;1 855 936,69;120 000,00;120 000,00;120 000,00;453,32;517,86;240,06;3;02
0208092;Lewin Kłodzki (2);1 764 496,33;4 148 446,86;351 078,15;53 779,00;53 627,34;71 429,15;909,53;2 095,18;177,49;2;02
0208103;Międzylesie (3);1 720 282,00;1 211 076,51;1 295 745,88;324 700,00;314 800,00;414 650,00;239,39;173,21;187,82;3;02
0208112;Nowa Ruda (2);2 987 960,92;3 437 962,43;3 662 424,77;670 000,00;757 623,00;757 509,95;257,61;312,94;336,71;2;02
0208123;Radków (3);2 437 250,01;1 904 352,68;2 535 950,89;573 000,00;593 000,00;676 491,90;269,37;218,39;294,13;3;02
0208133;Stronie Śląskie (3);773 200,14;784 956,99;951 398,44;0,00;0,00;0,00;102,56;111,72;136,07;3;02
0208143;Szczytna (3);762 923,65;785 235,00;822 629,90;219 570,82;239 194,00;271 314,86;104,85;110,38;117,33;3;02
0209011;Chojnów (1);2 586 000,00;1 780 965,78;2 130 647,02;694 200,00;534 800,63;631 759,88;193,64;138,02;167,45;1;02
0209022;Chojnów (2);3 312 309,53;1 143 922,15;973 131,02;486 100,00;554 920,00;582 180,85;343,81;119,26;102,06;2;02
0209032;Krotoszyce (2);993 731,60;479 796,70;325 043,42;183 871,67;160 688,02;182 391,03;298,78;144,39;98,53;2;02
0209042;Kunice (2);2 350 880,79;2 820 796,16;2 299 079,31;205 000,00;222 000,00;230 000,00;337,77;389,13;311,95;2;02
0209052;Legnickie Pole (2);2 096 950,11;1 981 905,73;2 084 173,51;0,00;0,00;0,00;400,72;380,48;397,44;2;02
0209062;Miłkowice (2);1 598 715,78;1 079 434,93;1 402 770,83;629 446,41;255 200,00;250 000,00;237,87;153,37;198,19;2;02
0209073;Prochowice (3);2 260 094,29;2 126 406,92;1 828 951,87;307 500,00;290 000,00;286 000,00;303,37;289,54;251,33;3;02
0209082;Ruja (2);299 711,71;306 802,53;417 898,98;97 592,95;165 281,00;199 905,93;113,57;123,76;170,99;2;02
0210011;Lubań (1);3 265 895,90;2 250 509,11;2 869 273,01;1 015 090,00;1 086 980,00;1 193 089,64;154,88;110,74;143,33;1;02
0210021;Świeradów-Zdrój (1);1 344 347,66;948 404,00;1 451 400,37;420 100,00;303 400,00;376 744,87;324,17;226,46;355,04;1;02
0210033;Leśna (3);1 096 872,53;1 046 386,95;1 408 073,24;155 000,00;178 570,00;175 000,00;109,54;108,52;147,10;3;02
0210042;Lubań (2);1 413 541,33;2 651 418,18;1 405 628,81;189 186,00;218 656,30;207 346,51;214,14;406,22;216,25;2;02
0210053;Olszyna (3);687 543,06;671 963,47;766 159,17;128 000,00;138 000,00;140 000,00;105,71;103,97;119,73;3;02
0210062;Platerówka (2);136 342,78;127 860,91;247 059,86;79 715,09;84 642,38;155 792,02;83,59;82,44;158,88;2;02
0210072;Siekierczyn (2);742 633,97;706 436,75;747 404,37;0,00;0,00;0,00;164,66;158,11;167,84;2;02
0211011;Lubin (1);23 105 924,25;24 841 274,62;21 997 823,71;3 554 894,70;4 970 000,00;3 590 000,00;319,02;351,87;315,47;1;02
0211022;Lubin (2);5 610 513,40;4 655 642,80;3 691 327,04;592 948,70;587 889,08;657 377,10;349,52;271,77;210,80;2;02
0211032;Rudna (2);5 231 632,56;6 107 681,60;6 791 534,04;152 659,93;158 593,05;151 092,13;671,32;817,41;909,42;2;02
0211043;Ścinawa (3);4 444 009,72;1 751 547,99;1 837 870,74;273 319,00;203 460,00;242 000,00;447,17;184,59;193,13;3;02
0212013;Gryfów Śląski (3);938 506,80;789 449,39;937 199,97;385 276,00;376 438,70;459 977,30;96,78;83,28;100,09;3;02
0212023;Lubomierz (3);13 072 653,70;1 248 638,31;1 812 195,72;329 000,00;185 000,00;260 000,00;2 111,22;216,10;316,65;3;02
0212033;Lwówek Śląski (3);3 545 357,32;2 725 706,14;2 689 738,19;1 221 660,00;800 000,00;830 000,00;205,66;163,80;162,99;3;02
0212043;Mirsk (3);3 129 517,72;664 776,34;851 825,48;299 270,20;266 499,73;312 972,72;362,97;80,39;103,82;3;02
0212053;Wleń (3);2 209 159,39;707 934,96;763 792,41;0,00;0,00;0,00;522,88;175,32;191,04;3;02
0213012;Cieszków (2);753 819,51;713 465,11;758 261,64;100 000,00;100 000,00;110 000,00;161,07;154,97;165,45;2;02
